artTitle,artContent,artCatagory
PLG／賽前與魔獸擁抱致意 林書豪：他說明年想回來打球,在結束於T1聯盟的賽季後，NBA球星「魔獸」霍華德（Dwight Howard）在今天現身和平籃球館觀賞台北富邦勇士與高雄17直播鋼鐵人隊之戰，並在賽前與前火箭隊友、鋼鐵人球星林書豪擁抱致意，而林書豪賽後受訪時表示，霍華德向他表示希望明年能夠再回來打球。過去曾在火箭共事的林書豪與霍華德，本季先後來台打球，不過一人加入T1聯盟雲豹隊，一人則是加入PLG鋼鐵人，儘管無法在台灣職籃賽場上上演對決戲碼，但今天霍華德也到和平籃球場觀賽，並與林書豪在賽前寒暄。談到霍華德的意外到訪，林書豪賽後記者會時表示，「聯盟有跟我說一下，我就跟他打個招呼，很久沒有看到他，我覺得他來帶來很多籃球的快樂，雖然我不是每一場都有關注，我只知道他的表現從數據看非常好，但細節沒有真的去關注，但我從很多人都期待來這裡打球，很高興又看到他。」對於兩人在賽前擁抱後交談了什麼，林書豪則說：「我們就是互相鼓勵、很高興，因為很多人在旁邊，不能說太多或是想說的，他跟我說他為我很驕傲，他說他明年也想回來打球，我也不知道這是什麼意思，也沒問，這就是他跟我說的。」,運動
NBA／不意外隊友挺身外線射穿綠軍 巴特勒：我們整年都如此,NBA東區冠軍賽，以老八姿態晉級的熱火今天在客場挑戰塞爾蒂克，結果熱火以優異的三分球表現，加上「士官長」巴特勒的穩定輸出，以123比116在系列賽中拿下首勝。美國職籃NBA塞爾蒂克對熱火之戰，熱火的巴特勒（Jimmy Butler）以35分表現居兩隊之冠，出場時間43分鐘也是兩隊最多；綠衫軍的塔特姆（JaysonTatum）則有30分的演出。上半場落後9分的熱火主要是靠第3節大逆轉取勝，同時全場三分球31投16中，也是擊敗對手的關鍵。熱火今天表現強大且均衡，巴特勒賽後向透納電視網（TNT）表示：「這麼多不同隊友以如此多的方式挺身而出，夜以繼日，我們一整年都在這樣做。」這場比賽雙方第1節你來我往，塞爾蒂克主要以布朗（Jaylen Brown）為進攻重心，塔特姆也有進帳；熱火則是靠巴特勒維持大局，雙方第1節終了，比數僅差2分。第2節開始，熱火在最後5分鐘突然熄火，反觀塞爾蒂克在對手頻頻被吹犯規，再加上霍福德（AlHorford）的外線，打出一波13比3漂亮攻勢。上半場終了前，史瑪特（Marcus Smart）更是妙傳威廉斯（Robert Williams）完成空中接力灌籃，塞爾蒂克上半場以66比57領先，塔特姆拿18分為兩隊最高；熱火則因失誤達11次，比數居於劣勢。第3節開始，熱火的阿德巴約（Bam Adebayo）開始發威，老將洛夫（Kevin Love）更有意外表現，尤其是在籃板上的貢獻，熱火追分將比數拉平後，巴特勒持續拿分，加上斯特魯斯（Max Strus）三分球轟炸，熱火本節完全壓制對手，單節得分以46比20遙遙領先，第3節打完得分即已破百，以103比91反超塞爾蒂克。最後一節，塞爾蒂克靠懷特（Derrick White）遠射追分，一波7比0攻勢讓熱火急忙喊出暫停，雙方進入拉鋸。塔特姆雖然罰球有進帳，但關鍵時刻在三分線外走步違例，斷送綠衫軍追分契機，巴特勒再補一記三分球讓塞爾蒂克無力回天，只能在主場苦吞系列賽首敗，兩隊將在台灣時間20日早上於原地進行第2戰。 ▪ 2023東區季後賽 賽程與比分表 ▪ 2023西區季後賽 賽程與比分表                     前三節17投僅5中的穆雷（Jamal Murray），在第四節終於找回準星，個人單節轟進4記三分球獨拿23分，加上波特（Michael Porter Jr.）和布朗（Bruce Brown）外線同時狙                                      灰熊球星莫蘭特（Ja Morant）再度因「直播亮槍」引發軒然大波。名人堂球星巴克利（Charles Barkley）直言，還在幫莫蘭特護航的人，根本就是白癡。據ESPN先前報導，莫蘭特再度出                                      NBA進入季後賽後，每當有球星發揮不佳，霍華德（Dwight Howard）就會化身台籃說客，邀請這些他們來台獻技，今天，這個輪盤指到了湖人雙星。今日對上金塊比賽，詹姆斯（Lebron Jam                                      拓荒者隊日前抽中選秀探花籤，不少球迷認為球隊可以順勢送走當家球星里拉德（Damian Lillard），進入重建。相關言論被里拉德注意到，他在推特發文寫下，「如果球迷想交易我，請開始遞交請願書！」                                      前三節手感不佳的穆雷（Jamal Murray），第四節成了金塊能逆轉擊敗湖人的重要功臣！穆雷在第四節砍下4顆三分球，外加關鍵時刻8罰7中的穩定表現，個人第四節狂砍23分，帶領金塊奪下系列賽2                                      約柯奇（Nikola Jokic）在西區冠軍戰第2戰繳出23分17籃板12助攻3抄截的全能數據，連續4場比賽送出大三元，同時今年季後賽更累積第7次大三元，追平張伯倫（Wilt Chamberlain）                  ,運動
NBA／大三元次數追平張伯倫 約柯奇再創獨一無二紀錄,"約柯奇（Nikola Jokic）在第3戰依然繳出30分17籃板17助攻的全方位表現，不過面對布克（Devin Booker）和杜蘭特（Kevin Durant）燃燒小宇宙聯手飆進86分的火力優勢下，金塊最終還是無緣客場取勝，獲得提前聽牌資格。這是約柯奇生涯季後賽第9次完成大三元，追平張伯倫（Wilt Chamberlain）的紀錄，並列季後賽史上中鋒完成最多大三元紀錄。此外，約柯奇單場送出17次助攻寫下季後賽生涯新高，也是張伯倫之後首位在季後賽傳出至少15次助攻的中鋒。張伯倫曾在1967年3月24日對辛辛那提皇家送出19次助攻。另一方面，根據聯盟官方統計顯示，約柯奇更是成為NBA史上首位在季後賽完成至少30分15助攻15籃板的球員。HISTORIC Game 3 from Nikola Jokic!Only player in NBA history to record 25+ points, 15+ rebounds, and 15+ assists in a Playoff game:30 PTS17 AST17 REBDEN/PHX Game 4: Sun, 8pm/et on TNT pic.twitter.com/qZRZu51SPF ▪ 2023東區季後賽 賽程與比分表 ▪ 2023西區季後賽 賽程與比分表                     湖人勇士第三戰移師洛城，比賽進行到第二節5分14秒時，穆迪（Moses Moody）切入禁區遭到戴維斯（Anthony Davis）封阻，倒地後的他隨手拉了一下戴維斯的右腳，被吹了一次惡意犯規，讓里夫                                      NBA衛冕軍勇士隊今天進攻當機，第二節僅拿18分，第三節也只有20分，教頭柯爾（Steve Kerr）第四節開始不到3分...                                      湖人隊今天在主場以127：97大勝勇士隊，不過，身經百戰的詹姆斯（Lebron James）並不以此驕傲，而是提醒隊友別因此鬆懈。本日，詹姆斯早早抵達球場練投，卻未在比賽初期展現進攻欲望，直到                                      前一場表現低迷的戴維斯（Anthony Davis），再回到主場後又重新展現生龍活虎的攻守威能。出賽33分鐘，10投7中包括12罰11中，繳出25分13籃板3助攻4阻攻3抄截的全能數據。根據統                                      衛冕軍勇士隊今天遭湖人隊以30分差距痛擊，當家射手之一的湯普森（Klay Thompson）形容球隊打出糟糕一戰，但他強...                                      2連勝的金塊在第3戰作客鳳凰城遭受到兩大得分悍將杜蘭特（Kevin Durant）和布克（Devin Booker）的猛烈攻勢洗禮，最後還是以7分之差落敗，無緣直接3連勝聽牌，系列賽形成2比1。                  ",運動
籃球／CBA球星陳盈駿合約到期態度開放 不排除返台打球,效力於CBA的台灣兩大球星陳盈駿、林庭謙，今天舉行返台記者會，2人在這個賽季都繳出亮眼成績單，而將滿30歲、合約又將到期的陳盈駿說：「回台灣打球我持開放態度。」效力於中國籃球聯賽（CBA）廣州龍獅的陳盈駿，在這場賽季繳出16.7分、4.5籃板、6.7次助攻，還入選CBA全明星賽，而他和龍獅的合約到今年7月為止，若要續約，將可拿到聯賽協議後的頂薪。下個月就滿30歲的陳盈駿在接受媒體聯訪時坦言：「我才剛回台灣2個星期，還處於放空的狀態，但不諱言，以我的年紀，加上我的家人、朋友、老婆都在台灣，這確實會影響我決定下一季要去哪裡打球。」上個賽季CBA頂薪球員年薪約600萬人民幣（約2700萬台幣），若台灣真有球隊要搶人，勢必無法低於這個價錢太多。陳盈駿說：「這段時間我也是會跟所有球隊保持接觸，就是持開放的態度，再多聽看看家人和經紀公司的建議。」陳盈駿這次返台，也將持續原本就有的偏鄉關懷活動，將以實際行動下鄉和偏鄉小孩進行籃球互動。他說：「我一直都希望可以在有能力的時候幫助更多的人，這也是我每年在休季期間回台灣一定要做的事情。」今年在台灣職籃掀起熱潮的「林書豪旋風」，過去在廣州龍獅也當過陳盈駿隊友，提到這位老大哥，陳盈駿滿是感謝：「我一直都有關注他的球賽，不論場內場外他都給我很多幫助，尤其是身為控球後衛時，對於場上和戰術的細節部分，豪哥真的沒話說。」陳盈駿也透露，前天有跟林書豪見面，都是聊天話家常居多，也邀請我去P.LEAGUE+聯盟高雄17直播鋼鐵人的主場看球。陳盈駿笑說：「看到豪哥回台灣後的表現，我真的很替他開心，說真的，他已經不需要在球場上證明什麼了，但他總是想要不斷的挑戰自我，所以才能把球隊一路帶往季後賽之路。」,運動
NBA／詹姆斯超越馬龍再創紀錄 榮登季後賽首輪得分王,38歲的詹姆斯（LeBron James）在首輪系列賽場均得到22.2分，這是他生涯所參與的系列賽中，得分第3低表現，高於2007年和2011年總冠軍賽；不過詹姆斯累積獲得133分，還是讓他順利超越「郵差」馬龍（Karl Malone），成為NBA歷史季後賽首輪總得分王。詹姆斯生涯首輪季後賽一共累積2250分，壓過馬龍的2228分；在兩人之外，分別是諾維茨基（Dirk Nowitzki）、布萊恩（Kobe Bryant）和保羅（Chris Paul）。若以首輪平均得分來看，詹姆斯以28.5分排名僅次於喬丹（Michael Jordan）、杜蘭特和艾佛森（Allen Iverson）；喬丹是場均36.8分，布萊恩（Kobe Bryant）則是25.2分。 ▪ 2023東區季後賽 賽程與比分表 ▪ 2023西區季後賽 賽程與比分表                     儘管主場關門戰慘遭對手修理，儘管本季客場戰績一條蟲，但只要有柯瑞（Stephen Curry）在，勇士便擁有贏球的無限可能。在生死存亡第七戰中，柯瑞全場38投20中包括7記三分球，狂轟50分8                                      靠著當家球星柯瑞（Stephen Curry）狂轟聯盟搶七大戰史上最高50分紀錄的加持，勇士在這場關鍵戰役中以20分之差力壓國王，系列賽4勝3敗成為最後一支晉級第二輪的球隊。分處第6和第7種子                                      柯瑞（Stephen Curry）在生死存亡的關鍵第七戰飆出破紀錄的單場50分，寫下多項歷史新猷，帶領勇士淘汰國王。然而在這瘋狂演出之前，顯然柯瑞心中的那一股氣早就在醞釀。這來自於第六戰主場大                                      衛冕軍金州勇士歷經7場艱辛對戰，總算是以4勝3敗淘汰了年輕又難纏的國王，將在第二輪與湖人對決，這是雙方自1991年再次於季後賽碰頭，柯瑞對決詹姆斯（LeBron James）的戲碼也再度重演，引發外界                                      靠著柯瑞（Stephen Curry）破紀錄50分的強勢帶領，勇士在生死搶七大戰以20分之差擊退難纏的國王，成為聯盟最後一支晉級第二輪的球隊，將要與宿敵詹姆斯（LeBron James）領軍的湖人正面                                      首輪系列賽對公鹿屢屢一人單挑全隊宛如天神降臨的巴特勒（Jimmy Butler），第二輪首戰面對尼克依然強勢；即便面臨腳踝扭傷的狀況，仍舊堅持帶傷奮戰，確保勝利可以到手。「巴特勒每天都努力領導                  ,運動
NBA／二度持槍炎上引主席震驚 莫蘭特打破沉默：我負全責,"灰熊隊球星莫蘭特（Ja Morant）日前二度爆出「持槍門」事件，震驚了包括NBA總裁席佛（Adam Silver）在內的所有人。話題炎上數天後，他今天終於打破沉默，對外回應自己的荒唐行為，表達「我會負起全責」。莫蘭特是在友人前天的IG直播中，又不慎被捕捉到左手緊握槍械，持槍畫面與兩個月前發生在酒吧的事件如出一轍，雖然拍攝者隨即將鏡頭移開，但相關截圖早已在社群平台間瘋狂流竄。事件爆發後，灰熊第一時間發布聲明，立刻禁止莫蘭特參與球隊所有活動。不過作為聯盟力捧新星卻不斷惹事，也讓聯盟主席席佛非常震驚，並向媒體表示：「老實說，當我看到那部影片，我十分驚訝，我們目前正進行調查，也會思考怎麼做才是最好的。影像有點模糊，但我個人正往最糟糕的情況設想。」而莫蘭特身為風暴中心點，終於在稍早打破沉默發表聲明，並二度認錯：「我知道自己讓很多粉絲失望了，這是一個過程，而我了解還有很多工作得做。現在，我的言語或許沒有任何意義，但我對所有事情負責，將努力投入應盡的所有工作。」由於已是累犯，外界認為莫蘭特會被處以多場禁賽，甚至判罰禁賽整季的聲浪都有，但不論懲處為何，他荒誕不羈的個性已為灰熊造成極大麻煩。“Honestly, I was shocked when I saw this weekend — that video. Now, we’re in the process of investigating it.NBA Commissioner Adam Silver spoke on Ja Morant after his latest video. pic.twitter.com/W0lX4E2fa4Ja Morant released a statement following his latest suspension. pic.twitter.com/zMAX2MSOiI ▪ 2023東區季後賽 賽程與比分表 ▪ 2023西區季後賽 賽程與比分表 灰熊莫蘭特                    前三節17投僅5中的穆雷（Jamal Murray），在第四節終於找回準星，個人單節轟進4記三分球獨拿23分，加上波特（Michael Porter Jr.）和布朗（Bruce Brown）外線同時狙                                      約柯奇（Nikola Jokic）今天攻下34分21籃板14助攻，率領金塊西區冠軍賽首戰擊敗湖人。不過湖人也有收穫，他們在末節派出八村壘（Rui Hachimura）主防約柯奇，只被得到3分。                                      西區冠軍賽今天正式在金塊主場展開，湖人先發陣容做出調整，將施羅德（Dennis Schroder）調上先發，變陣效果顯然不佳，金塊下半場一度領先21分，不過湖人第三節末段展開反攻，加上末節限制約柯奇（                                      灰熊球星莫蘭特（Ja Morant）再度因「直播亮槍」引發軒然大波。名人堂球星巴克利（Charles Barkley）直言，還在幫莫蘭特護航的人，根本就是白癡。據ESPN先前報導，莫蘭特再度出                                      NBA進入季後賽後，每當有球星發揮不佳，霍華德（Dwight Howard）就會化身台籃說客，邀請這些他們來台獻技，今天，這個輪盤指到了湖人雙星。今日對上金塊比賽，詹姆斯（Lebron Jam                                      拓荒者隊日前抽中選秀探花籤，不少球迷認為球隊可以順勢送走當家球星里拉德（Damian Lillard），進入重建。相關言論被里拉德注意到，他在推特發文寫下，「如果球迷想交易我，請開始遞交請願書！」                  ",運動
NBA／熱火扳倒塞爾蒂克 復仇成功闖進總冠軍賽,"邁阿密熱火連兩季與波士頓塞爾蒂克在東區冠軍賽狹路相逢，去年落敗無緣爭冠的熱火，今年4比3淘汰塞爾蒂克，闖進總冠軍賽，成功報了一箭之仇。熱火上季在東區決賽打滿7場，巴特勒（Jimmy Butler）當時在落後兩分情況下操刀最後一擊並未命中，最終不敵塞爾蒂克，無緣爭冠。本季塞爾蒂克搶下57勝25敗、全聯盟次佳的戰績，以東區第2種子身分，在季後賽接連擊敗亞特蘭大老鷹、費城76人後，晉級東區冠軍賽。熱火例行賽排名第8，無法直接打進季後賽，且附加賽首戰敗給老鷹，靠著第2戰擊敗芝加哥公牛，才驚險挺進季後賽。季後賽首輪，「老八」熱火迎戰例行賽全聯盟戰績最好的密爾瓦基公鹿。公鹿是2021年的總冠軍球隊，陣中有拿過兩次年度最有價值球員（MVP）的「字母哥」安戴托昆波（Giannis Antetokounmpo），但熱火絲毫不見畏懼，以4比1淘汰公鹿。熱火以4比2擊敗紐約尼克後，打進東區冠軍賽，再度遭遇塞爾蒂克。熱火上季在東區決賽的對戰中吞敗，本季又是「老八」對決全聯盟第2強，陣中第2得分點赫洛（Tyler Herro）與隊上最佳第6人歐拉迪波（Victor Oladipo）又因傷高掛免戰牌，但他們不甩種種劣勢，開賽就拿下3連勝聽牌。即便塞爾蒂克強力反撲，扳成3比3平手，但熱火頂住壓力，在巴特勒（Jimmy Butler）帶領下搶下關鍵一勝，成功「復仇」拿下東區冠軍前進總冠軍賽。Eastern Conference Finals MVP Jimmy Butler receives the Larry Bird Trophy ?#NBAFinals presented by @YouTubeTV begin Thursday, June 1st:MIA/DEN Game 1 at 8:30 PM ET on ABC! pic.twitter.com/oZKoTTCZb4 ▪ 2023東區季後賽 賽程與比分表 ▪ 2023西區季後賽 賽程與比分表                     「是時候了！」勇士王朝幕後推手邁爾斯（Bob Myers）正式確定辭去職位，選擇離開這支球隊。自告別季後賽舞台後，勇士下季陣容將洗牌的謠言甚囂塵上，而有關邁爾斯即將離開的疑問其實早在今年季中就                                      歷經選秀會乏人問津、接受非保障「Exhibit 10」約轉雙向合約、和黃蜂簽下3年420萬美元合約、被球隊揮棄後在邁阿密領一年52.8萬美元的薪資；最終，6呎5吋高、27歲的馬丁（Caleb Mart                                      NBA總冠軍賽將在後天點燃戰火，將由隊史首度闖進總冠軍賽的金塊隊出戰史上第二支以分區老八姿態晉級決賽的熱火隊，儘管在對手...                                      從賽季前不被看好到一路挺進總冠軍賽，熱火昨天不僅成為NBA第2支以分區第八種子闖進總冠軍賽的球隊，更是史上首支從附加賽一...                                      歷經7場苦戰，熱火最終仍是擋住塞爾蒂克的3連勝反撲，以一場大勝達成隊史第7次挺進總冠軍賽的成就；同時，熱火更成為史上第2支闖進總冠軍賽的老八種子。熱火能在不被看好的情況下，從附加賽一路逆流而上                                      熱火隊昨天在東區冠軍賽第7戰擊敗塞爾蒂克隊，相隔兩年重返冠軍賽舞台，成為籃壇近兩日最火熱的話題，遠在地球另一端法網賽的美...                  ",運動
NBA／勇士窮途末路？詹皇生涯17次「3比1」聽牌皆晉級,"洛杉磯湖人今天在主場以104比101險勝金州勇士，取得系列賽3比1的領先優勢。根據統計，詹姆斯（LeBron James）生涯季後賽在「3比1」聽牌時，17次全都勝出，沒被逆轉過。國外數據媒體統計，已經38歲的詹姆斯，生涯季後賽出現過17次系列賽3比1的聽牌優勢，而這17次詹姆斯全都順過關，從沒被逆轉過。第一次出現在2007年對布魯克林籃網，最近一次就是今年季後賽首輪對灰熊。這個數據也意味著，儘管湖人和勇士的系列賽第5戰將回到勇士主場舉行，但想要翻盤逆轉湖人，得先問問詹姆斯同不同意。Strong outings from LeBron and AD in the @Lakers Game 4 win to secure a 3-1 series lead!LeBron: 27 PTS, 9 REB, 6 ASTAD: 23 PTS, 15 REB, 3 STLLAL/GSW Game 5: Wednesday, 10 PM ET on TNT pic.twitter.com/b0GNGlNjFS湖人今天能取得3比1的優勢，賽後詹姆斯受訪時也大力稱讚替補球員華克（Lonnie Walker IV），詹姆斯說：「雖然他經歷了一個不容易的球季，但我始終告訴他要保持信心和積極度。」華克全場拿下15分，且全都出現在第4節，僅比勇士全隊17分還少2分而已。他先從飆進三分球吹起湖人反攻號角，接著多次單打中距離跳投得手，最重要的就是終場前15秒穩穩2罰俱中，幫助湖人拉開3分差距，立於不敗之地。24歲的華克，在2018年首輪第18順位被聖安東尼奧馬刺選走，生涯前4個賽季表現中規中矩，但似乎無法滿足球隊對於首輪選秀球員的期待。今年賽季他轉隊到湖人，開賽之初還是球隊的固定先發，但從今年2月交易大限後，華克就跌出球隊的固定輪替陣容，季後賽首輪對灰熊僅出賽4場，共計16分鐘。他在季後賽第二輪對勇士首戰依然沒上場，第2戰和第3戰都是在勝負已分的垃圾時間出賽，直到第4戰才獲得重用。 ▪ 2023東區季後賽 賽程與比分表 ▪ 2023西區季後賽 賽程與比分表                     季後賽西區第2輪的第4戰，洛杉磯湖人靠著華克（LonnieWalker）第四節砍進他整場全部得分的15分，以104比101擊敗金州勇士，系列賽取得3比1絕對優勢。                                      勇士隊今天三節打完領先7分，不過湖人小將華克（Lonnie Walker IV）末節殺出，反觀柯瑞（Stephen Curry）外線接連「打鐵」，最後一擊還發生失誤，儘管完成生涯季後賽第3次大三元，也                                      洛杉磯湖人今天在主場以104比101險勝金州勇士，取得系列賽3比1的領先優勢。根據統計，詹姆斯（LeBron James）生涯季後賽在「3比1」聽牌時，17次全都勝出，沒被逆轉過。                                      巴特勒（Jimmy Butler）全場飆出27分10助攻6籃板2抄截2阻攻，阿德巴約（Bam Adebayo）也貢獻23分13籃板2助攻，熱火靠著強勢攻守表現一路壓制尼克，系列賽取得3比1聽牌優勢。                                      衛斯特布魯克（Russell Westbrook）和貝佛利（Patrick Beverley）季後賽旅程都已結束，但兩人...                                      巴特勒（Jimmy Butler）2018年效力灰狼隊時，曾和隊友發生爭執，他在一次練習賽中率領球隊三軍擊退唐斯（Karl-Anthony Towns）和維金斯（Andrew Wiggins）等人組成                  ",運動
NBA／拓荒者抽中探花籤仍抱撼 僅一球之差錯過狀元籤,"NBA樂透選秀抽籤會已於稍早落幕，拓荒者隊雖然獲得比預期更高順位，球隊仍略感扼腕，因為他們僅以「一球之差」而與狀元籤失之交臂，代表無緣選中不世出的法國長人溫班亞馬（Victor Wembanyama）。根據抽籤規則，聯盟會投入1~14號的號碼球，並從機器中抽出4球，不計號碼順序會有1001種組合，在抽籤儀式前，聯盟會將1000種組合依照各順位的機率分配給這14隊，例如擁有14%機率狀元籤機率的馬刺，就能分到140種組合，而命中最多球號的球隊就握有狀元籤。最後聯盟在第一順位抽出「14、5、8、2」四個數字，而最終狀元籤得主正是命中全部組合的馬刺隊。雖然從機率來看，馬刺雀屏中選並不意外，但從《華盛頓郵報》記者高利佛（Ben Golliver）會後發布的推特貼文能得知，狀元籤其實差點大爆冷門，「馬刺透過14、5、8、2這個數字組合摘下狀元籤；拓荒者手上則握有14、5、8、3，他們僅以一球之差錯過了第一順位。」The San Antonio Spurs won the NBA Draft lottery and the right to select Victor Wembanyama with the ping pong ball combo 14, 5, 8, 2.The Portland Trail Blazers held the combination 14, 5, 8, 3. They missed by just one number on the final ball.拓荒者本次有10.5%機率抽中狀元籤，可惜最後只差一球抱憾，圖為代隊出席抽籤會的隊史名將羅伊。 截自《NBA on ESPN》推特事實上，拓荒者在選前最可能座落第五順位，而他們最終帶走了探花籤，躍進兩個順位的結果，理應讓球隊相當滿意，但經歷的過程不免讓人可惜，畢竟他們差一點就能帶走百年難得一見的長人溫班亞瑪。不過，拓荒者上次以狀元選下的長人，正是受傷病折磨、生涯從未兌現天賦的歐登（Greg Oden），且隊上仍存在「中鋒傷病魔咒」，因此錯過狀元籤對拓荒者及溫班亞瑪來說，或許是個雙贏局面。Came away with the 3rd overall pick in the 2023 #NBADraft ?#RipCity pic.twitter.com/E0YfR8mmQu ▪ 2023東區季後賽 賽程與比分表 ▪ 2023西區季後賽 賽程與比分表                     前三節17投僅5中的穆雷（Jamal Murray），在第四節終於找回準星，個人單節轟進4記三分球獨拿23分，加上波特（Michael Porter Jr.）和布朗（Bruce Brown）外線同時狙                                      約柯奇（Nikola Jokic）今天攻下34分21籃板14助攻，率領金塊西區冠軍賽首戰擊敗湖人。不過湖人也有收穫，他們在末節派出八村壘（Rui Hachimura）主防約柯奇，只被得到3分。                                      西區冠軍賽今天正式在金塊主場展開，湖人先發陣容做出調整，將施羅德（Dennis Schroder）調上先發，變陣效果顯然不佳，金塊下半場一度領先21分，不過湖人第三節末段展開反攻，加上末節限制約柯奇（                                      灰熊球星莫蘭特（Ja Morant）再度因「直播亮槍」引發軒然大波。名人堂球星巴克利（Charles Barkley）直言，還在幫莫蘭特護航的人，根本就是白癡。據ESPN先前報導，莫蘭特再度出                                      NBA進入季後賽後，每當有球星發揮不佳，霍華德（Dwight Howard）就會化身台籃說客，邀請這些他們來台獻技，今天，這個輪盤指到了湖人雙星。今日對上金塊比賽，詹姆斯（Lebron Jam                                      拓荒者隊日前抽中選秀探花籤，不少球迷認為球隊可以順勢送走當家球星里拉德（Damian Lillard），進入重建。相關言論被里拉德注意到，他在推特發文寫下，「如果球迷想交易我，請開始遞交請願書！」                  ",運動
NBA／不滿足於當選秀狀元 溫班亞瑪想在巴黎奧運擊敗美國隊,法國超級大物溫班亞瑪(Victor Wembanyama)擁有歷史級的身體天賦，被看好將會是下一個席捲NBA的現象級球星，進入手握狀元籤的馬刺隊只是時間問題。而在正式選秀前，他立下了一個比進NBA還遠大的目標：帶領法國在奧運擊敗美國男籃夢幻隊，並且奪下金牌。法國是2024年的奧運主辦國，身為地主隊球星，溫班亞瑪當然想在鄉親父老前帶走法國男籃首座奧運金牌。溫班亞瑪在受訪時也發下豪語：「眾所皆知，2024奧運會將在法國舉行」，溫班亞瑪對《ESPN》說，「對我而言，想要贏得我在法國國家隊的第一個冠軍，沒有比這更完美的機會。我的目標是在金牌戰擊敗美國隊」。溫班亞瑪的球涯已收下兩面銀牌，分別是U16歐洲青年籃球錦標賽及U19世界盃，而2024年溫班亞瑪有機會首度入選一級賽事的國家隊。美國已經連續四屆奪下奧運金牌，包括2020年在東京奧運衛冕成功，讓法國「銀恨」。上一次有國家能阻止美國摘金已經要追溯到2004年的阿根廷，該屆MVP正巧是溫班亞瑪未來的馬刺大學長吉諾布里(Manu Ginobili)。縱使美國對各國像是一堵越不過的高牆，但溫班亞瑪的自信其來有自。除了上屆小輸五分顯示實力落差不大，最大原因是在FIBA沒有禁區三秒限制下，法國的禁區優勢得以被放大。戈貝爾(Rudy Gobert)和溫班亞瑪兩大長人將造成美國隊的大麻煩，握有法國國籍的新科MVP安比德(Joel Embiid)也有機會代表法國出賽，使美國的五連霸金牌之路更加充滿挑戰。 ▪ 2023東區季後賽 賽程與比分表 ▪ 2023西區季後賽 賽程與比分表 Victor Wembanyama巴黎奧運                    頂著38歲的高齡，詹姆斯（LeBron James）在西區冠軍賽平均出戰42.8分鐘，繳出27.8分10助攻9.5籃板1.5抄截的驚人數據，然而卻無力阻止湖人慘遭4連敗被橫掃的命運。結束賽季之                                      挾著季後賽的優異表現，即將成為自由球員的日籍前鋒八村壘（Rui Hachimura），傳出希望可以獲得一份四年約6000萬美元的合約。進入新秀合約最後一年的八村壘，在今年季中被巫師交易到洛城，                                      哈登（James Harden）去年夏天主動大幅降薪，與76人簽下兩年6860萬美元的合約，其中第2年為球員選項，試圖為球隊增加補強空間，全力衝擊總冠軍。不過隨著76人第二輪不敵塞爾蒂克，哈登未來動向                                      在東區冠軍賽第4戰於客場背水一戰並順利延長戰線後，塞爾蒂克隊今天將回到主場繼續阻止熱火隊晉級，不過在賽前卻傳出今年奪下年...                                      日籍球星八村壘在季後賽大放異彩，成為湖人板凳的頭號得分點，他的好表現幫助第七種子的湖人一路殺進西區決賽才被金塊給淘汰，而他的搶眼成績有機會替他爭取到一紙長約。在近期受訪時他談及這個驚奇賽季，表示在湖人                                      東區決賽第5戰台灣時間明天早上8點半登場，熱火雖握有3比1絕對優勢，但季後賽表現亮眼的後衛文森（Gabe Vincent...                  ,運動
