word,count
提高,74
維持,74
尤其,74
容量,74
MG,74
預期,74
先前,74
XD,73
韓國,73
想要,73
焦慮,73
調整,73
具備,73
建議,72
體驗,72
JPTT,72
電量,72
保養,72
更新,72
會不會,72
實現,72
氫燃料,71
開放,71
似乎,71
本來,71
代表,71
汽油,70
油耗,70
整個,70
符合,70
正在,70
來源,69
驅動,69
資料,69
PHEV,69
相比,69
車商,69
搭配,69
新世代,69
輪胎,69
分享,68
km,68
道路,68
供應鏈,68
明年,68
Lexus,67
以下,67
投資,67
這一,67
帶來,67
效率,67
的車,67
首款,66
有沒有,66
決定,65
內容,65
加入,65
支援,65
期待,65
變速箱,65
減少,65
關係,65
後座,65
功率,65
研發,64
亞迪,64
階段,64
計劃,64
這台,64
方向盤,64
企業,64
Hyundai,63
因素,63
交付,63
確定,63
轎車,63
相信,62
轉型,62
以後,62
最佳,62
容易,61
進一步,61
看看,61
網友,61
積極,61
發電,61
下降,61
量產,61
挑戰,61
部分,61
電池組,61
事情,60
一款,60
過程,60
距離,60
將在,60
CCS,60
陸續,60
規劃,60
幾年,60
趨勢,60
品質,59
來到,59
車上,59
政策,59
model,59
漲價,59
公開,59
優勢,58
排名,58
變成,58
類似,58
之間,58
風阻,58
大幅,58
跨界,58
習慣,57
數位,57
一輛,57
國產,57
太多,57
Mazda,57
領域,57
確實,57
相同,57
數量,56
IONIQ,56
台幣,56
kmh,56
對手,56
重新,56
工作,56
奧迪,56
高達,56
房車,56
大量,56
全面,56
以前,55
兩個,55
之外,55
專案,55
方案,55
造型,55
用車,55
一次,55
重量,55
領牌,55
馬斯克,55
控制,55
這也,54
遇到,54
補助,54
預估,54
起火,54
臺灣,54
推動,54
肯定,54
最終,54
快速,53
自駕,53
召回,53
比例,53
Taycan,53
近日,53
擔心,53
車道,53
成功,53
透露,52
中心,52
強調,52
現場,52
取得,52
傳出,52
內燃機,52
納智捷,52
Apple,51
進口,51
排隊,51
今天,51
供應,51
完整,51
事故,50
停車位,50
買車,50
歐盟,50
Stellantis,50
面臨,50
數字,50
億美,50
地區,50
基礎,50
短缺,50
客戶,50
車市,50
報告,49
民眾,49
燃料,49
升級,49
通常,49
可靠性,49
衰退,49
ID,49
利用,49
當初,49
零件,49
綜合,49
資源,49
概念車,49
經濟,49
國際,48
突破,48
疫情,48
操控,48
限制,48
etron,48
改變,48
意外,48
成立,48
加油,48
販售,48
座椅,48
上海,47
有望,47
網路,47
網頁,47
準備,47
外媒,47
停產,47
和泰,47
通用,47
WLTP,47
條件,47
指數,47
Car,47
優點,47
不足,47
選配,47
台北,47
缺點,46
參考,46
產生,46
每天,46
注意,46
重點,46
引進,46
差異,46
展示,46
策略,46
優惠,46
程度,45
優先,45
增長,45
車馬費,45
挪威,45
交通,45
結合,45
支持,45
考量,44
Ioniq,44
年底,44
地點,44
CRV,44
紀錄,44
大型,44
加油站,44
EQS,44
溫度,44
新台幣,43
管理,43
經驗,43
取代,43
正常,43
汽油車,43
設備,43
確認,43
產量,43
提到,43
舒適,43
三年,43
接近,42
好了,42
之下,42
展開,42
入門,42
轉向,42
冠軍,42
加州,42
蘋果,42
市區,42
購車,42
GT,42
乘客,42
開到,42
沒辦法,42
組裝,42
產能,42
家裡,41
變化,41
國產車,41
戰略,41
分析,41
車頭,41
要求,41
銷售量,41
電子,41
官網,41
計算,41
插電,41
每年,41
英里,41
規模,41
達成,41
能量,41
試駕,41
Corolla,41
值得,41
歡迎,40
反應,40
開啟,40
先進,40
供應商,40
費用,40
普及,40
不到,40
台北市,40
終於,40
亮相,40
架構,40
設置,40
台中,40
平臺,40
不可能,39
壓力,39
十年,39
家族,39
操作,39
方向,39
安裝,39
預告,39
外型,39
下半年,39
每個,39
Recharge,39
算是,39
調漲,39
也將,39
等級,39
小弟,38
朋友,38
結束,38
MIH,38
出口,38
內部,38
歷史,38
具有,38
低於,38
嚴重,38
免費,38
這輛,38
Sony,38
GM,38
拿下,37
維修,37
並未,37
差距,37
Win,37
擴大,37
一種,37
打算,37
動力車,37
規定,37
時速,37
配額,37
感受,37
冷氣,37
FSD,37
首次,37
避免,37
佔比,37
Master,37
將於,36
手排,36
唯一,36
問世,36
補充,36
近期,36
持有,36
位置,36
經銷商,36
文章,36
等於,36
GR,36
Sport,36
關注,36
實在,36
車頂,36
bZ,36
太陽能,36
事實,36
作者,36
啟動,36
動能,35
固態,35
進口車,35
訪問,35
長途,35
負責,35
滿足,35
產線,35
尺寸,35
保固,35
TOYOTA,35
造車,35
經營,35
突然,35
新創,35
四輪,35
這款,35
公升,35
狀態,35
同期,35
行車,35
利潤,35
渦輪,35
接單,34
人士,34
預購,34
概念,34
補貼,34
首度,34
軸距,34
建設,34
旗艦,34
清楚,34
價值,34
只能,34
人員,34
相較,34
Rivian,34
想法,34
Lucid,34
固定,34
取消,33
前面,33
投入,33
還在,33
鎖定,33
近年,33
Luxgen,33
跑車,33
驚人,33
換車,33
兩年,33
進步,33
總代理,33
放棄,33
QQ,33
團隊,33
戰爭,33
水準,33
Leaf,33
月底,33
生活,33
提出,33
風險,33
改善,33
真正,33
以外,33
車友,33
再來,33
引發,33
創新,33
改裝,33
同步,32
EUR,32
角度,32
車門,32
事件,32
Range,32
兩種,32
幹嘛,32
成績,32
KM,32
期間,32
Level,32
剎車,32
僅有,32
起亞,32
幾個,32
卡車,32
智慧,32
一段,32
更換,32
鋁圈,32
選項,32
二手,32
懸吊,32
共同,32
舒服,32
做出,32
鏡頭,32
加熱,32
掛牌,32
一名,32
單月,32
大部分,32
機構,32
合資,32
空氣,32
太陽能板,32
主管,31
穩定,31
車牌,31
台電,31
那種,31
線上,31
供電,31
發布,31
日常,31
開賣,31
屬於,31
車載,31
運輸,31
意味著,31
依然,31
行動,31
車的,31
累積,31
建立,31
法規,31
中控,31
獲利,31
即時,31
總裁,31
城市,31
回應,31
機車,31
謝謝,31
出門,31
多數,31
外界,31
安全性,31
國道,31
MODEL,31
回收,31
下來,31
省油,31
推文,31
OTA,31
車禍,31
下訂,31
車用,30
登場,30
運動,30
變得,30
專屬,30
下滑,30
賽車,30
員工,30
貨物稅,30
實車,30
Cross,30
現有,30
美金,30
部門,30
娛樂,30
實測,30
慢充,30
前方,30
長期,30
越野,30
附近,30
觀察,30
排放,30
今日,30
說法,30
水箱,30
hp,30
賣出,30
這項,30
廠牌,30
範圍,30
自行,29
最高,29
質感,29
Peugeot,29
休息,29
辦法,29
小型,29
主動,29
保持,29
修正,29
上半年,29
資格,29
感謝,29
連續,29
VW,29
願意,29
第二,29
稍微,29
不斷,29
公佈,29
污染,29
沒什麼,29
大多數,29
年式,29
專利,29
Kicks,29
結構,29
證明,29
整合,28
地位,28
皮卡,28
自然,28
還可以,28
身為,28
輕鬆,28
中間,28
競爭力,28
回家,28
有所,28
即可,28
公共,28
說真的,28
下去,28
Yaris,28
不行,28
原先,28
買家,28
新一代,28
看過,28
配合,28
找到,28
移動,28
MachE,28
禁止,28
高級,28
後面,28
並不,28
上路,28
換成,28
方法,28
節能,28
反對,28
期望,28
小孩,28
南韓,27
氣候,27
WRC,27
行為,27
Mustang,27
小改款,27
海外,27
保護,27
警方,27
Auto,27
設施,27
樂趣,27
買到,27
預售,27
風雲車,27
Focus,27
這點,27
出遊,27
老婆,27
創下,27
LED,27
上漲,27
離子,27
推測,27
四驅,27
運作,27
預算,27
LFP,27
Electric,27
車體,27
俄羅斯,27
標配,27
ePOWER,27
占比,27
一半,27
通勤,27
強化,27
現行,27
暫時,27
夥伴,27
印象,27
稅金,27
超越,27
幫助,27
油門,27
音響,26
車內,26
普遍,26
業者,26
好看,26
拿到,26
效果,26
踏板,26
收費,26
日期,26
日產,26
柴油,26
人民幣,26
缺車,26
導航,26
世代,26
Vision,26
裡面,26
車室,26
最新,26
努力,26
多久,26
TESLA,26
旅行,26
最多,26
XM,26
電能,26
上面,26
網站,26
訪談,26
儀表,26
開起來,26
專業,26
曾經,26
開過,26
高階,26
花費,26
勞斯萊斯,26
浪費,26
佔用,26
想像,26
莉蓮,26
改成,26
雙方,26
商用車,26
理由,26
嚴陳,26
管委會,25
再度,25
各大,25
新款,25
密度,25
領先,25
順便,25
電氣化,25
應用,25
停止,25
引起,25
露營,25
風格,25
月份,25
股價,25
處理,25
禁售,25
曝光,25
二手車,25
必要,25
轉子,25
沒電,25
線條,25
有趣,25
共享,25
結論,25
麻煩,25
勢必,25
存在,25
參與,25
轉速,25
回到,25
聲音,25
執行,25
單一,25
各國,25
主力,25
高通,25
車種,25
照片,25
慢慢,24
新加坡,24
CarPlay,24
Polestar,24
強大,24
消費,24
獨立,24
車隊,24
高度,24
插電式油,24
動作,24
有著,24
吸引,24
上班,24
xDrive,24
聯盟,24
萬台,24
中型,24
極速,24
隔音,24
困難,24
護罩,24
定位,24
中和,24
隨便,24
入手,24
全景,24
年代,24
首批,24
介面,24
碰撞,24
請問,24
合約,24
充滿,24
推薦,24
給予,24
機械,24
起步,24
漲幅,24
Hybrid,24
面對,24
車格,24
有什麼,24
負擔,24
專注,24
級距,23
有限,23
項目,23
ACC,23
原型,23
呈現,23
天然氣,23
cc,23
落後,23
玻璃,23
藉由,23
電腦,23
進軍,23
全世界,23
難以,23
對外,23
計程車,23
額外,23
興趣,23
亮眼,23
特定,23
零碳,23
訂購,23
中央,23
暢銷,23
NX,23
外面,23
重返,23
大眾,23
高性能,23
高於,23
國外,23
Air,23
再生,23
機能,23
現階段,23
看板,23
申請,23
理論,23
通知,23
第一季,22
車迷,22
內文,22
關閉,22
允許,22
Ducati,22
RZ,22
環景,22
因應,22
現身,22
足夠,22
好用,22
Renault,22
滿意,22
完善,22
視為,22
商業,22
也許,22
防護,22
Sion,22
油錢,22
Golf,22
章男,22
家人,22
下午,22
這麼多,22
UCAR,22
專家,22
出色,22
下車,22
機關,22
台灣人,22
領導,22
KN,22
司機,22
能不能,22
單位,22
CP,22
當年,22
工業,22
高雄,22
路線,22
驗證,22
為主,22
歐元,22
平價,22
MercedesBenz,22
旅行車,22
上述,22
規範,22
細節,21
合理,21
代理,21
油箱,21
兩大,21
爭取,21
模組化,21
機制,21
家庭,21
一項,21
RT,21
並在,21
理想,21
三大,21
普通,21
緊急,21
綠色,21
Mobility,21
布局,21
Long,21
營運,21
三方,21
巨大,21
尺碼,21
安靜,21
委員會,21
業界,21
後驅,21
換上,21
小車,21
貨車,21
這件,21
市占率,21
差別,21
VAG,21
標準版,21
IS,21
參加,21
驅車,21
碳排,21
機率,21
關稅,21
俄亥俄州,21
等待,21
主導,21
消耗,21
強制,21
DC,21
RAV,21
圖片,21
永磁,21
剩下,21
收到,21
亞洲,21
長程,21
可說,21
Prius,21
抱怨,21
解鎖,21
故障,21
零組件,21
小心,21
BEV,21
收入,21
有個,21
座談會,21
省錢,21
氫氣,20
陣容,20
短期,20
Mokkae,20
沒想到,20
淘汰,20
EX,20
義大利,20
EQA,20
年銷量,20
怠速,20
平常,20
TPC,20
行程,20
中華,20
原物料,20
創造,20
QX,20
好奇,20
天窗,20
理念,20
案例,20
法國,20
車展,20
理解,20
資金,20
掀背車,20
這篇,20
享受,20
不夠,20
回去,20
高層,20
畫面,20
看法,20
生產線,20
社團,20
詳細,20
用電,20
模組,20
社會,20
名為,20
上升,20
電費,20
假日,20
第四季,20
當作,20
Google,20
缺乏,20
切換,20
明明,20
車重,20
特性,20
換檔,20
電門,19
貢獻,19
新高,19
檢舉,19
鄉民,19
低速,19
決策,19
乘坐,19
重心,19
思考,19
Rover,19
動態,19
不可,19
Oliver,19
URX,19
龍頭,19
工程,19
永遠,19
有時候,19
退出,19
車色,19
Bentley,19
依賴,19
警示,19
五菱,19
大力,19
強勁,19
據了解,19
Subaru,19
意義,19
初期,19
一度,19
聯合,19
評價,19
Power,19
硬體,19
告知,19
減碳,19
跟進,19
代步車,19
第三,19
所謂,19
臉書,19
潛在,19
車長,19
適應,19
大小,19
Lamborghini,19
時程,19
多元,19
賽道,19
措施,19
兩款,19
在意,19
試乘,19
裕隆日產,19
高端,19
材料,19
公平,19
將有,19
協會,19
代理權,19
霸主,19
依舊,19
主流,19
率先,19
錯誤,19
減速,19
證實,19
做到,19
核心,19
CES,19
消失,19
再次,19
了解,19
先行,19
可惜,19
同一,19
妥善率,18
激烈,18
分析師,18
政治,18
時段,18
位於,18
澳洲,18
先生,18
台塑,18
告訴,18
RollsRoyce,18
搞不好,18
後方,18
全台,18
有待,18
到時候,18
一天,18
意思,18
原來,18
汎德,18
公告,18
明確,18
暫停,18
詢問,18
感到,18
豪華車,18
協助,18
逐漸,18
聽說,18
油價,18
情形,18
領牌數,18
外部,18
EQXX,18
後輪,18
通膨,18
家父,18
營業,18
會員,18
Label,18
繳出,18
人才,18
CVT,18
半年,18
Solterra,18
ePower,18
第季,18
專門,18
疑慮,18
同意,18
宣告,18
fromBePTTon,18
對此,18
一路,18
LUXGEN,18
董事長,18
真是,18
正確,18
增程,18
Klasse,18
不像,18
反正,18
答案,18
自行車,18
休息站,18
一號,18
限量,18
估計,18
當成,18
Red,18
電價,18
索尼,18
顧客,18
掀背,18
Astra,18
更何況,18
延續,18
剛剛,18
兩倍,18
恢復,18
優異,18
意願,18
智能,18
工具,18
特殊,18
路面,18
石油,18
特色,18
日系,18
預測,18
晚上,18
可能性,18
形式,18
印度,18
公分,18
儀表板,18
費率,17
將是,17
價錢,17
排檔,17
視覺,17
累計,17
忠誠度,17
排行榜,17
收購,17
駕駛人,17
NACS,17
年時,17
用途,17
野馬,17
順利,17
飯店,17
總是,17
人生,17
Autopilot,17
股東,17
推廣,17
物流,17
大學,17
承認,17
紅色,17
幅度,17
路透社,17
賞車,17
註冊,17
瞬間,17
主打,17
這不,17
Neue,17
租車,17
厲害,17
天氣,17
Lordstown,17
磁鐵,17
並將,17
預約,17
佐藤,17
群組,17
發文,17
遊戲,17
確保,17
車站,17
模型,17
充電器,17
用戶,17
利潤率,17
想到,17
划算,17
科技感,17
最早,17
變動,17
Performance,17
相機,17
保留,17
現實,17
里程數,17
起跳,17
私人,17
延後,17
日後,17
滿滿,17
下方,17
ZS,17
組成,17
迅速,17
聽到,17
迎來,17
良好,17
延長,17
頭燈,17
這段,17
撞擊,17
電耗,17
多年,17
不想,17
RS,17
巡航,17
便是,16
廠徽,16
LG,16
最快,16
介入,16
據點,16
方向燈,16
大規模,16
烏克蘭,16
作業,16
成員,16
百萬,16
中古,16
解釋,16
VOLVO,16
吉利,16
超車,16
工程師,16
車廂,16
旅程,16
多個,16
老實說,16
視野,16
一波,16
掛牌數,16
總共,16
大樓,16
三個,16
of,16
熱銷,16
to,16
都還,16
上任,16
認真,16
奇怪,16
半導體,16
提醒,16
加價,16
實施,16
看好,16
名單,16
共計,16
Blume,16
四個,16
PS,16
車尾,16
以往,16
本次,16
記得,16
不佳,16
態度,16
儲能,16
五年,16
破萬,16
公有,16
歐美,16
充飽,16
倒數,16
紅燈,16
愛車,16
新增,16
同級,16
MINI,16
統一,16
可望,16
付費,16
地球,16
Group,16
一提,16
觸控,16
還好,16
量產版,16
老車,16
做法,16
熱門,16
大關,16
漂亮,16
聯繫,16
轉彎,16
Turbo,16
塞車,16
開個,16
氫能,16
當天,16
三月,16
股份,16
訊息,16
發動機,16
實力,16
衝擊,16
年初,16
顧問,16
Lancia,16
零百,16
行李箱,16
日圓,16
年輕,16
路邊,16
門檻,16
停工,16
節省,16
hybrid,16
成長率,16
年將,16
每小時,16
發揮,16
爆發,16
虧損,16
撞到,16
Explorer,16
效益,15
Infiniti,15
保證,15
帶動,15
po,15
重大,15
貸款,15
危險,15
GmbH,15
這輛車,15
前輪,15
尾燈,15
後悔,15
行人,15
評選,15
車庫,15
下單,15
有效,15
笑死,15
開出,15
座艙,15
交易,15
共用,15
加滿,15
成熟,15
還算,15
盧森堡,15
整車,15
AP,15
還不,15
打開,15
昨天,15
誇張,15
對象,15
訂金,15
行銷,15
僅需,15
追求,15
靜止,15
超跑,15
英鎊,15
顏色,15
納入,15
實用,15
電池廠,15
各家,15
盡量,15
邏輯,15
AG,15
板友,15
路況,15
前進,15
危機,15
目的,15
裝置,15
英哩,15
前座,15
會議,15
上次,15
上午,15
台中市,15
法案,15
電機,15
調降,15
CHR,15
材質,15
旁邊,15
複合,15
要不要,15
Camry,15
夏天,15
得知,15
零排放,15
獨特,15
共有,15
評估,15
客車,15
可行,15
車壇,15
喜愛,15
我個,15
排除,15
來回,15
搶先,15
自年,15
只好,15
影像,15
平衡,15
釋出,15
紛紛,15
涵蓋,15
現今,15
十分,15
流行,15
車板,15
連接,15
低調,15
Jaguar,15
拜登,15
停車格,15
強度,15
訂車,15
擔任,15
發言人,15
AC,15
全自動,15
相當於,15
CX,15
售出,15
當前,15
車機,15
Jimny,15
用於,15
集中,15
陳姓,14
判決,14
速限,14
前往,14
出發,14
OPEL,14
進度,14
投產,14
正面,14
號稱,14
靈活,14
Coupe,14
法院,14
峰值,14
BYD,14
信箱,14
反觀,14
開門,14
宣傳,14
牌子,14
額定,14
鴻華,14
分類,14
總經理,14
介紹,14
服務區,14
形容,14
市面,14
雷達,14
廢氣,14
知名,14
價差,14
帶領,14
這類,14
駕車,14
後勤,14
失敗,14
Diess,14
黑色,14
放心,14
發出,14
空調,14
蔚來,14
回充,14
職業,14
Xtrail,14
SR,14
NEDC,14
拿來,14
分為,14
原材料,14
而來,14
寧德,14
噪音,14
運用,14
Plaid,14
能耗,14
事業,14
這兩個,14
現金,14
鼻孔,14
揭露,14
攜手,14
落在,14
代號,14
總監,14
總計,14
在內,14
遠端,14
族群,14
精神,14
警告,14
統計,14
電池車,14
排檔桿,14
套件,14
搜尋,14
人類,14
降至,14
過往,14
C羅,14
還能,14
致力,14
Energy,14
豐富,14
經濟日報,14
新竹,14
有夠,14
分配,14
定價,14
工藝,14
享有,14
Motors,14
WD,14
EQB,14
Phaeton,14
話題,14
營收,14
倒車,14
編輯,14
展間,14
展現,14
南陽,14
會有,14
走向,14
判斷,14
語彙,14
署名,14
摩托車,14
購入,14
回廠,14
和泰車,14
越南,14
Neo,13
顯然,13
力道,13
複雜,13
BZX,13
聲稱,13
里程碑,13
佈局,13
無線,13
下一代,13
不敢,13
質疑,13
Land,13
Nm,13
嘗試,13
出廠,13
韓國車,13
這款車,13
時間點,13
看完,13
各項,13
現任,13
係數,13
直流,13
置物,13
特點,13
重機,13
程式,13
訴訟,13
則有,13
抵達,13
開著,13
預料,13
適用,13
滿電,13
作品,13
充到,13
交流道,13
一代,13
簽約,13
操控性,13
可選,13
放大,13
車手,13
二代,13
直線,13
給人,13
車速,13
百年,13
Suzuki,13
損失,13
雙色,13
來自於,13
焦點,13
健康,13
展出,13
將從,13
輪圈,13
裁員,13
子公司,13
將以,13
Piech,13
形成,13
俄烏,13
接手,13
採購,13
駕駛座,13
循環,13
對岸,13
萬張,13
西班牙,13
成都,13
更長,13
裝設,13
自由,13
愈來愈,13
行業,13
SsangYong,13
二氧化碳,13
山路,13
阻力,13
轉換,13
優於,13
壽命,13
定義,13
回歸,13
兩次,13
爆炸,13
碳排放,13
相似,13
No,13
角色,13
and,13
出遠門,13
環島,13
NCAP,13
違反,13
拓展,13
停放,13
新任,13
呼籲,13
柴油車,13
林志穎,13
承諾,13
講的,13
認同,13
GWh,13
頂級,12
仍會,12
組織,12
來得,12
經歷,12
早期,12
掌握,12
都市,12
合計,12
駕照,12
花錢,12
雙生,12
那麼多,12
toyota,12
法律,12
擋風,12
信仰,12
原則,12
業績,12
APP,12
The,12
永續,12
自主,12
信心,12
主席,12
跟上,12
特粉,12
代步,12
這位,12
脫困,12
汽車業,12
兼顧,12
運轉,12
現象,12
台南,12
昂貴,12
Musk,12
虛擬,12
原料,12
只會,12
一位,12
為啥,12
瑞典,12
約莫,12
困擾,12
爸爸,12
強勢,12
立法,12
保值,12
口數,12
抬頭,12
預警,12
優化,12
商場,12
過世,12
車都,12
協議,12
粉絲,12
賺錢,12
同事,12
KIA,12
大貨卡,12
萬元起,12
好處,12
這套,12
拒絕,12
受限,12
失望,12
Semi,12
三代,12
有感,12
股票,12
太太,12
立即,12
聲明,12
採取,12
沒差,12
中長期,12
手動,12
燃燒,12
認知,12
出爐,12
庫存,12
把手,12
討厭,12
老爸,12
不一定,12
自燃,12
一篇,12
沒事,12
變更,12
股權,12
人力,12
多達,12
雨刷,12
瑞士,12
追上,12
目的地,12
滅火,12
有意,12
實業,12
樣貌,12
萬萬,12
學習,12
買單,12
編譯,12
半小時,12
HS,12
問卷,12
嚴格,12
乘用車,12
看出,12
兒童,12
社區,12
Gogoro,12
完美,12
Gossiping,12
全車,12
攝氏,12
還沒,12
流程,12
AFEELA,12
首發,12
少數,12
電網,12
廣告,12
Android,12
雷諾,12
警察,12
外國,12
處於,12
幾次,12
各地,12
通通,12
攀升,12
考驗,12
回覆,12
訪者,12
散熱,12
前提,12
性能版,12
金屬,12
常見,12
代工,12
卡鉗,12
電源,12
AUDI,12
國軍,12
不多,12
寶馬,12
溝通,12
兄弟,12
支付,12
火力,12
大聲,11
全數,11
數值,11
權益,11
德系,11
馬自達,11
公尺,11
行列,11
改為,11
社長,11
Macan,11
火災,11
延遲,11
自然進,11
知情,11
潮流,11
Kona,11
OK,11
梅西,11
安排,11
缺料,11
智慧型,11
車在,11
要價,11
第三季,11
高昂,11
關鍵字,11
聯邦,11
三菱,11
跑去,11
面板,11
占用,11
不確定性,11
失控,11
可達,11
一間,11
兩台,11
MercedesEQ,11
特黑,11
柏林,11
夠用,11
類別,11
型號,11
email,11
興奮,11
Octavia,11
感測器,11
一場,11
備註,11
負責人,11
入主,11
藍色,11
請教,11
兩側,11
kmkWh,11
結晶,11
哨兵,11
障礙,11
猜測,11
的電,11
一併,11
編成,11
極限,11
本土,11
中古車,11
光達,11
離開,11
樣子,11
董事會,11
體積,11
車燈,11
徵收,11
區域,11
提前,11
路段,11
舉行,11
忘了,11
雙龍,11
冷卻,11
隔天,11
建置,11
輪框,11
Elon,11
泰國,11
上廁所,11
商品,11
發電機,11
長時間,11
預售價,11
為例,11
發表會,11
折扣,11
New,11
這讓,11
聽過,11
電控,11
標示,11
年增,11
定速,11
in,11
代言人,11
智商,11
親民,11
離地,11
加強,11
客人,11
家用,11
填寫,11
保養費,11
議題,11
新聞稿,11
疲勞,11
降幅,11
每輛車,11
優質,11
寒冷,11
建構,11
kgm,11
交由,11
機油,11
車窗,11
水平,11
貨卡,11
實驗,11
前驅,11
採訪,11
將來,11
稱霸,11
到來,11
bzx,11
高檔,11
違規,11
整天,11
就連,11
Spectre,11
氛圍,11
很大,11
混合車,11
一部分,11
仔細,11
感受到,11
一步,11
便利,11
令人,11
寶座,11
TWD,11
旅遊,11
一般人,11
億元,11
觀念,11
IPace,11
冬季,11
Puma,11
底下,11
沒人,11
LV,10
洽談,10
蘇銘翰,10
異音,10
PO,10
合成,10
排放量,10
遠遠,10
經典,10
樂觀,10
後照鏡,10
綜效,10
吸引力,10
取車,10
象徵,10
要開,10
整理,10
功課,10
MW,10
發佈,10
影響力,10
識別,10
鋪陳,10
維護,10
幫忙,10
這塊,10
過渡,10
律師,10
履帶,10
元件,10
指標,10
飾板,10
觀點,10
氣息,10
車外,10
預接,10
停車費,10
第二季,10
不用說,10
一口氣,10
小米,10
緩慢,10
Sakura,10
發電廠,10
轉載,10
便利性,10
首波,10
氫能源,10
考慮到,10
Ferrari,10
批評,10
模擬,10
好車,10
低溫,10
則為,10
七月,10
飛行,10
背景,10
陽春,10
尋求,10
插上,10
加快,10
一陣子,10
做好,10
記錄,10
VL,10
早已,10
破百,10
多媒體,10
折舊率,10
踩油門,10
真實,10
平時,10
Mirai,10
全程,10
盲點,10
這幾年,10
六和,10
基地,10
磷酸,10
興建,10
Scania,10
都將,10
車輪,10
授權,10
促進,10
失去,10
乾脆,10
它將,10
批准,10
面積,10
車寬,10
省電,10
招募,10
剩餘,10
家電,10
蓄電池,10
新聞網,10
留言,10
運行,10
打滑,10
平穩,10
促銷,10
辨識,10
具體,10
Pro,10
報廢,10
氫站,10
腳步,10
短短,10
評論,10
例子,10
EQE,10
既有,10
三星,10
檢查,10
舒適性,10
熟悉,10
下面,10
飛機,10
內建,10
March,10
金融,10
出行,10
開關,10
Artemis,10
到達,10
局面,10
站點,10
動車,10
中山區,10
宣佈,10
減免,10
周邊,10
全速,10
心中,10
大漲,10
下旬,10
長達,10
擔憂,10
咖啡,10
二大,10
迴轉,10
外電,10
IDBuzz,10
足以,10
認證,10
電話,10
賺到,10
推特,10
這部分,10
乖乖,10
冬天,10
利益,10
金額,10
住戶,10
軟硬體,10
PTT,10
北京,10
折舊,10
堅持,10
錄影,10
假設,10
商機,10
大廠,10
確切,10
看車,10
友善,10
大戰,10
Skoda,10
拍攝,10
名稱,10
豪車,10
